Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),VPC main,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (N. Virginia),VPC main,Network Address Translation (NAT) Gateway,0,33.53,402.36,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),VPC main,Data Transfer,0,1.35,16.20,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (15 GB per month), DT Intra-Region: (0 TB per month), Data transfer cost (1.35)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,2513.8,30165.60,USD,"Data transfer out to internet (30 TB per month), Number of requests (HTTPS) (5000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,706.56,8478.72,USD,S3 Standard storage (30 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),Web Servers main,Amazon EC2,0,1066.5,12798.00,USD,"Operating system (Linux), Quantity (100), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.small)"
My Estimate,US East (N. Virginia),App Servers main,Amazon EC2,0,2133,25596.00,USD,"Operating system (Linux), Quantity (200), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.small)"
My Estimate,US East (N. Virginia),DB main,Amazon RDS for MySQL,0,1715.4,20584.80,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (5), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (20 GB)"
My Estimate,US East (N. Virginia),LB main,Application Load Balancer,0,266.45,3197.40,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),VPC backup,VPN Connection,0,0,0.00,USD,Working days per month (22)
My Estimate,US East (Ohio),VPC backup,Network Address Translation (NAT) Gateway,0,33.53,402.36,USD,Number of NAT Gateways (1)
My Estimate,US East (Ohio),VPC backup,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (0)"
My Estimate,US East (Ohio),LB backup,Application Load Balancer,0,266.45,3197.40,USD,Number of Application Load Balancers (2)
My Estimate,US East (Ohio),DB backup,Amazon RDS for MySQL,0,5119.82,61437.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m4.10xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),Web Servers backup,Amazon EC2,0,1066.5,12798.00,USD,"Operating system (Linux), Quantity (100), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.small)"
My Estimate,US East (Ohio),App Servers backup,Amazon EC2,0,2133,25596.00,USD,"Operating system (Linux), Quantity (200), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.small)"

I have also set up VPC, Web Servers, App Servers and a DB instance in a different Region (US East Ohio) for cross-region redundancy. Such a setup enables our service to survive a regional outage on US East N. Virginia. 


Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
